# n	k	Tiempo
15000	0	0.11062662
15000	1000	0.09171021
15000	2000	0.08478888
15000	3000	0.06908607
15000	4000	0.05611660
15000	5000	0.04619587
15000	6000	0.03588966
15000	7000	0.03213097
15000	8000	0.02649253
15000	9000	0.02181657
15000	10000	0.01585369
15000	11000	0.00863996
15000	12000	0.00439322
15000	13000	0.00201155
15000	14000	0.00050548
20000	0	0.18702001
20000	1000	0.16901025
20000	2000	0.15297450
20000	3000	0.13413490
20000	4000	0.12055565
20000	5000	0.10567154
20000	6000	0.09094693
20000	7000	0.07989569
20000	8000	0.06782685
20000	9000	0.05680260
20000	10000	0.04847204
20000	11000	0.03890308
20000	12000	0.02900854
20000	13000	0.02418021
20000	14000	0.01757004
30000	0	0.43297449
30000	1000	0.39568529
30000	2000	0.37412058
30000	3000	0.37005778
30000	4000	0.34155402
30000	5000	0.29618914
30000	6000	0.26767688
30000	7000	0.24952776
30000	8000	0.23152331
30000	9000	0.21071224
30000	10000	0.18918756
30000	11000	0.17213693
30000	12000	0.15253714
30000	13000	0.13657357
30000	14000	0.12079768
40000	0	0.78660625
40000	1000	0.73775456
40000	2000	0.69301538
40000	3000	0.67949844
40000	4000	0.62845818
40000	5000	0.62049333
40000	6000	0.56930127
40000	7000	0.52712052
40000	8000	0.50095334
40000	9000	0.46738353
40000	10000	0.43569083
40000	11000	0.41215351
40000	12000	0.38852215
40000	13000	0.36648259
40000	14000	0.33064408
50000	0	1.21204066
50000	1000	1.17615352
50000	2000	1.08788964
50000	3000	1.08134700
50000	4000	1.02109110
50000	5000	0.97340821
50000	6000	0.93417261
50000	7000	0.91782236
50000	8000	0.85586514
50000	9000	0.80858602
50000	10000	0.81770662
50000	11000	0.78805350
50000	12000	0.72558727
50000	13000	0.71382940
50000	14000	0.61566894
60000	0	1.72082892
60000	1000	1.78713407
60000	2000	1.74510531
60000	3000	1.74361623
60000	4000	1.60678137
60000	5000	1.57191994
60000	6000	1.50804923
60000	7000	1.36315200
60000	8000	1.28947346
60000	9000	1.24023972
60000	10000	1.18173210
60000	11000	1.13186332
60000	12000	1.09654822
60000	13000	1.03595500
60000	14000	0.98799259
70000	0	2.30316921
70000	1000	2.23225980
70000	2000	2.15438384
70000	3000	2.18278280
70000	4000	2.10521530
70000	5000	2.11228400
70000	6000	2.02480070
70000	7000	1.86628299
70000	8000	1.82603761
70000	9000	1.79902582
70000	10000	1.83935302
70000	11000	1.70873046
70000	12000	1.68076305
70000	13000	1.59216944
70000	14000	1.50637131
80000	0	3.11129192
80000	1000	3.00237164
80000	2000	2.90182441
80000	3000	2.88312636
80000	4000	2.77869169
80000	5000	2.77197519
80000	6000	2.60724484
80000	7000	2.52320626
80000	8000	2.45362609
80000	9000	2.44227955
80000	10000	2.36400595
80000	11000	2.29811539
80000	12000	2.36642011
80000	13000	2.25158713
80000	14000	2.14566397
90000	0	4.66098866
90000	1000	4.69064163
90000	2000	4.28817811
90000	3000	4.13328248
90000	4000	4.01155792
90000	5000	3.95671012
90000	6000	3.93903826
90000	7000	3.99342395
90000	8000	3.69410583
90000	9000	3.53788129
90000	10000	3.48751864
90000	11000	3.30110180
90000	12000	3.23469961
90000	13000	3.01164442
90000	14000	3.03430784
100000	0	5.20539518
100000	1000	6.92411800
100000	2000	9.08894804
100000	3000	8.40030698
100000	4000	8.66895100
100000	5000	9.20737044
100000	6000	9.00491018
100000	7000	9.15196456
100000	8000	8.85606841
100000	9000	6.34743607
100000	10000	3.75311107
100000	11000	3.72173239
100000	12000	3.68161749
100000	13000	3.56854117
100000	14000	3.53192320
101000	0	4.91659869
101000	1000	4.74312435
101000	2000	4.66122930
101000	3000	4.60319873
101000	4000	4.54574639
101000	5000	4.40758832
101000	6000	4.36874858
101000	7000	4.27054588
101000	8000	4.26815584
101000	9000	4.16299514
101000	10000	4.00867528
101000	11000	3.90318004
101000	12000	3.87353953
101000	13000	3.70143149
101000	14000	3.63262823
102000	0	5.00234421
102000	1000	4.89723045
102000	2000	4.91983369
102000	3000	4.99960985
102000	4000	4.84075876
102000	5000	4.68891070
102000	6000	4.52042801
102000	7000	4.42569215
102000	8000	4.26489702
102000	9000	4.14589568
102000	10000	4.06979532
102000	11000	3.99810372
102000	12000	3.82944910
102000	13000	3.73629252
102000	14000	3.64563017
103000	0	4.99714606
103000	1000	4.87030144
103000	2000	4.79531792
103000	3000	4.67454008
103000	4000	4.54018039
103000	5000	4.46768487
103000	6000	4.38594594
103000	7000	4.26816970
103000	8000	4.16065341
103000	9000	4.08682561
103000	10000	3.99725149
103000	11000	3.90523921
103000	12000	3.82778783
103000	13000	3.72220621
103000	14000	3.64776856
104000	0	4.95603012
104000	1000	4.89421440
104000	2000	4.83718500
104000	3000	4.83162356
104000	4000	4.74747550
104000	5000	4.65324891
104000	6000	4.54270362
104000	7000	4.44825612
104000	8000	4.32650266
104000	9000	4.23959334
104000	10000	4.12389027
104000	11000	4.10079924
104000	12000	3.96018861
104000	13000	3.89057933
104000	14000	3.75828449
105000	0	5.12022779
105000	1000	5.08619044
105000	2000	5.06946589
105000	3000	4.90038071
105000	4000	4.88183048
105000	5000	4.77562151
105000	6000	4.60413396
105000	7000	4.51445414
105000	8000	4.39344777
105000	9000	4.28889799
105000	10000	4.19997659
105000	11000	4.08722129
105000	12000	4.00290012
105000	13000	3.89682775
105000	14000	3.81403728
106000	0	5.16782209
106000	1000	5.07090784
106000	2000	5.11182031
106000	3000	4.94811855
106000	4000	4.83839360
106000	5000	4.73466357
106000	6000	4.64954889
106000	7000	4.54861553
106000	8000	4.50270725
106000	9000	4.66873030
106000	10000	4.54590541
106000	11000	4.63736818
106000	12000	4.77610056
106000	13000	4.46657364
106000	14000	4.10605346
